Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area,Soil_Type,Cover_Type
2067,0,21,270,9,755,184,196,145,900,Cache,C2702,5
2574,0,2,319,20,1419,216,235,156,1595,Commanche,C2703,4
2559,0,0,510,16,1113,218,238,156,1332,Commanche,C2703,2
2647,0,6,402,94,641,212,229,155,1104,Commanche,C2703,2
2651,0,3,335,103,488,215,233,156,1381,Commanche,C2703,2
2647,0,6,417,94,648,212,229,155,1082,Commanche,C2703,2
2639,0,10,366,80,589,206,222,154,1041,Commanche,C2703,2
2590,0,2,201,13,1200,216,235,156,1719,Commanche,C2703,1
2447,0,4,0,0,631,213,232,156,711,Commanche,C2705,5
2501,0,6,228,31,1012,211,228,155,930,Commanche,C2705,1
2500,0,4,30,3,1746,213,232,156,886,Commanche,C2705,5
2641,0,1,90,15,1518,217,236,156,182,Commanche,C2705,2
2346,0,1,0,0,1315,217,236,156,551,Cache,C2717,3
2511,0,13,212,42,42,200,215,152,524,Cache,C2717,1
2266,0,25,162,100,1045,175,185,140,738,Cache,C2717,2
2381,0,16,297,32,1397,195,209,150,592,Cache,C2717,2
2406,0,7,319,165,382,210,228,155,1892,Cache,C2717,2
2504,0,3,90,10,516,215,234,156,1443,Cache,C2717,5
2458,0,8,516,188,937,208,225,154,1055,Cache,C2717,5
2395,0,0,60,6,1170,218,238,156,1054,Cache,C2717,2
2352,0,5,201,58,942,213,231,156,577,Cache,C2717,3
2365,0,17,212,53,1337,194,207,149,391,Cache,C2717,5
2361,0,6,175,22,1390,212,229,155,384,Cache,C2717,2
2919,0,1,376,16,4644,217,236,156,4773,Rawah,C3501,1
2909,0,4,390,3,4633,214,232,156,4264,Rawah,C3502,1
2906,0,6,247,3,4764,212,229,155,4795,Rawah,C3502,1
2903,0,1,190,3,5295,217,236,156,4126,Rawah,C3502,1
2916,0,0,268,3,4948,218,238,156,2799,Rawah,C3502,0
2906,0,3,201,6,5289,215,234,156,4103,Rawah,C3502,1
2547,0,1,60,4,492,217,236,156,1194,Rawah,C4201,1
2545,0,4,108,8,600,213,232,156,1026,Rawah,C4201,1
2769,0,18,95,17,902,190,203,147,2029,Commanche,C4703,0
2892,0,17,716,162,270,194,207,149,1302,Commanche,C4703,1
2636,0,15,212,40,2292,196,210,150,1536,Commanche,C4703,1
2269,0,12,0,0,277,202,217,152,390,Cache,C4703,2
2422,0,13,300,113,402,201,216,152,324,Cache,C4703,2
2349,0,23,124,61,366,180,190,143,495,Cache,C4703,2
2452,0,22,175,43,541,182,193,144,1358,Cache,C4703,5
2240,0,20,95,-25,853,186,198,146,382,Cache,C4703,2
2767,0,3,458,115,2018,215,234,156,2042,Commanche,C4703,5
2694,0,18,283,82,2474,192,205,148,1418,Commanche,C4703,1
2421,0,26,313,78,726,173,183,139,626,Cache,C4703,5
2283,0,33,458,126,626,154,160,129,618,Cache,C4703,2
2231,0,35,150,87,1224,147,151,125,1426,Cache,C4703,2
2760,0,13,90,8,1489,201,216,152,1486,Commanche,C4703,0
2107,0,15,30,7,391,196,210,150,391,Cache,C4703,5
2572,0,22,390,158,218,183,194,144,808,Cache,C4703,1
2171,0,22,297,160,457,183,194,144,618,Cache,C4703,2
2447,0,14,108,23,810,199,214,151,1231,Cache,C4703,2
2401,0,30,480,195,1110,161,168,132,201,Cache,C4703,2
2332,0,17,150,70,1173,194,207,149,677,Cache,C4703,5
2239,0,34,150,67,841,153,158,128,1110,Cache,C4703,5
2609,0,30,120,34,1718,161,168,132,1354,Commanche,C4703,1
1975,0,39,124,91,150,138,141,120,127,Cache,C4703,2
2272,0,22,67,20,150,182,193,144,997,Cache,C4703,1
2066,0,19,175,68,424,188,200,147,631,Cache,C4703,5
2279,0,32,234,90,960,157,164,130,1374,Cache,C4703,2
2205,0,18,30,5,1541,190,203,147,895,Cache,C4703,2
2117,0,27,216,-63,661,171,179,137,633,Cache,C4703,5
2535,0,13,134,16,1834,200,215,152,1907,Commanche,C4703,1
2165,0,36,60,37,1249,146,150,124,1418,Cache,C4703,2
2393,0,1,90,11,192,217,236,156,335,Commanche,C4703,5
2488,0,27,342,126,767,169,178,137,1291,Cache,C4703,2
2901,0,17,732,171,300,194,207,149,1321,Commanche,C4703,1
2811,0,25,175,52,3000,175,185,140,532,Commanche,C4703,1
2552,0,9,0,0,1978,206,222,154,497,Commanche,C4703,5
2780,0,10,175,9,2798,206,222,154,2255,Commanche,C4703,1
2674,0,20,313,69,2389,186,198,146,1485,Commanche,C4703,1
2910,0,17,774,180,309,194,207,149,1364,Commanche,C4703,1
2760,0,14,90,11,1495,199,213,151,1464,Commanche,C4703,0
2263,0,34,420,106,708,150,155,127,854,Cache,C4703,2
2593,0,10,360,77,1782,205,221,153,2032,Commanche,C4704,1
2802,0,13,726,68,360,200,215,152,1020,Commanche,C4704,1
2593,0,7,300,77,1723,210,227,155,1981,Commanche,C4704,1
2824,0,10,417,89,1892,205,221,153,932,Commanche,C4704,4
2583,0,10,192,40,1953,206,222,154,2093,Commanche,C4704,1
2540,0,9,60,3,1082,208,224,154,2086,Commanche,C4704,1
2577,0,11,216,1,2550,203,219,153,2638,Commanche,C4704,1
2545,0,11,90,10,1057,203,219,153,2105,Commanche,C4704,1
2809,0,12,685,75,390,203,218,152,1061,Commanche,C4704,1
2779,0,15,256,66,1734,196,210,150,1087,Commanche,C4704,4
2590,0,14,124,31,1321,198,212,151,1846,Commanche,C4704,1
2614,0,21,95,40,1361,185,197,145,685,Commanche,C4704,2
2748,0,7,309,58,1489,210,228,155,2003,Commanche,C4704,4
2682,0,7,127,22,1727,210,227,155,6696,Rawah,C4744,0
2621,0,8,60,-8,912,209,226,155,6036,Rawah,C4744,1
3044,0,10,577,53,5671,205,221,153,5286,Rawah,C4744,0
2818,0,2,240,14,3216,216,235,156,6138,Rawah,C4744,1
2949,0,3,335,4,4478,215,234,156,5801,Rawah,C4744,1
2620,0,14,67,22,1509,199,213,151,4984,Rawah,C4744,1
2890,0,5,446,74,3694,212,230,156,3085,Rawah,C4744,1
2866,0,11,108,14,3356,204,220,153,3219,Rawah,C4744,1
2998,0,9,458,79,5051,208,224,154,5825,Rawah,C4744,0
3034,0,5,598,62,5589,213,231,156,6525,Rawah,C4744,1
2965,0,9,537,46,4884,206,222,154,5338,Rawah,C4744,1
2985,0,8,470,66,4747,208,225,154,6225,Rawah,C4744,1
2718,0,7,162,28,2300,210,227,155,4541,Rawah,C4744,1
2724,0,2,255,41,2434,216,234,156,4986,Rawah,C4744,1
2722,0,12,404,33,1931,203,218,152,6014,Rawah,C4744,1
2639,0,9,324,14,1027,207,223,154,1524,Rawah,C4744,1
2605,0,14,95,30,1412,199,213,151,4952,Rawah,C4744,1
2949,0,9,467,56,4277,206,222,154,5688,Rawah,C4744,1
2885,0,4,228,17,3097,214,232,156,3825,Rawah,C4744,1
2792,0,12,182,19,1986,203,218,152,2447,Rawah,C4744,1
2745,0,12,170,85,2542,202,217,152,6784,Rawah,C4744,0
2975,0,1,450,23,4279,217,236,156,5445,Rawah,C4744,1
3014,0,12,531,49,5437,202,217,152,5736,Rawah,C4744,1
2734,0,9,85,15,2278,207,223,154,6817,Rawah,C4744,0
2691,0,6,42,4,1719,211,228,155,3798,Rawah,C4744,1
2735,0,9,210,2,1242,207,223,154,1332,Rawah,C4744,1
2873,0,4,277,62,3993,213,232,156,5356,Rawah,C4744,1
2785,0,1,234,28,3163,217,236,156,5144,Rawah,C4744,1
2647,0,15,67,30,1682,196,210,150,4992,Rawah,C4744,1
2790,0,1,216,13,2268,217,236,156,2571,Rawah,C4744,1
2801,0,3,420,58,3025,215,234,156,6599,Rawah,C4744,1
2722,0,7,212,9,2250,210,227,155,4298,Rawah,C4744,1
2972,0,5,90,7,4975,212,230,156,5708,Rawah,C4744,1
2972,0,11,272,145,5075,204,220,153,4930,Rawah,C4744,0
2978,0,0,313,26,4549,218,238,156,5629,Rawah,C4744,1
3060,0,1,390,69,5783,217,236,156,4751,Rawah,C4744,1
2965,0,1,331,68,4039,217,236,156,5299,Rawah,C4744,1
2959,0,12,182,40,4759,202,217,152,5918,Rawah,C4744,0
2978,0,3,361,53,4207,215,233,156,5341,Rawah,C4744,1
3044,0,4,942,125,5575,213,232,156,5476,Rawah,C4744,1
2816,0,10,277,35,2095,205,221,153,3029,Rawah,C4744,0
3031,0,1,674,112,5252,217,236,156,5809,Rawah,C4744,1
2781,0,5,430,38,2828,213,231,156,6642,Rawah,C4744,0
2647,0,8,283,68,1103,208,225,154,969,Rawah,C4744,1
2952,0,8,577,125,4872,209,226,155,5276,Rawah,C4744,0
3037,0,0,564,65,5547,218,238,156,6445,Rawah,C4744,1
2955,0,9,324,36,4614,206,222,154,6173,Rawah,C4744,1
2697,0,5,120,9,1702,212,230,156,3714,Rawah,C4744,1
2708,0,6,404,17,1873,212,229,155,6039,Rawah,C4744,1
2975,0,5,30,3,5013,213,231,156,6091,Rawah,C4744,1
2717,0,5,60,6,1768,212,230,156,4260,Rawah,C4744,1
3027,0,9,658,108,5275,207,223,154,5686,Rawah,C4744,1
3011,0,1,591,164,5560,217,236,156,5150,Rawah,C4744,0
3027,0,9,745,108,5375,206,222,154,5582,Rawah,C4744,1
2821,0,9,192,45,1871,206,222,154,1909,Rawah,C4744,1
3018,0,3,658,171,5630,215,234,156,5171,Rawah,C4744,0
3245,0,13,604,62,1405,200,215,152,1542,Commanche,C4758,0
2765,0,14,85,9,693,199,213,151,2405,Commanche,C4758,1
2153,0,7,0,0,953,210,228,155,765,Cache,C5101,3
2840,0,12,0,0,4651,202,217,152,4702,Rawah,C6101,1
2404,0,0,0,0,1165,218,238,156,1003,Commanche,C6101,5
2498,0,11,30,1,1224,203,219,153,4424,Rawah,C6101,1
2909,0,0,212,13,5693,218,238,156,6237,Rawah,C6101,0
3218,0,0,90,4,421,218,238,156,1032,Neota,C6101,0
2546,0,13,30,0,300,200,215,152,1861,Rawah,C6101,1
2726,0,15,30,7,2620,196,210,150,2429,Rawah,C6101,1
2975,0,7,0,0,2969,210,228,155,6382,Rawah,C6101,0
2702,0,2,0,0,1321,216,235,156,2421,Commanche,C6102,1
2003,0,9,0,0,60,206,222,154,631,Cache,C6102,2
2695,0,6,0,0,1448,212,229,155,2361,Commanche,C6102,1
2772,0,11,30,3,932,203,219,153,2103,Commanche,C6102,0
2235,0,1,0,0,1556,217,236,156,866,Cache,C6102,3
2811,0,11,60,-1,1690,204,220,153,1731,Commanche,C6102,4
2219,0,14,0,0,1140,199,214,151,384,Cache,C6102,3
2610,0,5,30,0,2021,212,230,156,2690,Commanche,C6102,5
2504,0,4,95,5,691,214,232,156,5572,Rawah,C6731,4
2942,0,4,153,6,4334,213,232,156,5131,Rawah,C7101,1
3222,0,8,30,2,3359,209,226,155,4138,Rawah,C7101,0
3170,0,0,0,0,5627,218,237,156,1753,Rawah,C7101,1
3060,0,3,0,0,4079,215,233,156,679,Rawah,C7101,0
2942,0,7,218,6,4385,210,228,155,5144,Rawah,C7101,1
2940,0,7,30,0,1583,210,227,155,360,Commanche,C7101,0
2998,0,8,339,33,5253,208,225,154,5788,Rawah,C7101,1
3013,0,3,30,1,4210,215,233,156,932,Rawah,C7101,1
3020,0,0,0,0,4198,218,238,156,1064,Rawah,C7101,1
3020,0,0,0,0,4214,218,238,156,1036,Rawah,C7101,1
3155,0,0,30,-3,3482,218,238,156,4760,Rawah,C7101,0
2991,0,1,0,0,5313,217,236,156,4830,Rawah,C7101,0
3172,0,1,30,0,5597,217,236,156,1836,Rawah,C7101,1
3173,0,1,124,-2,5050,217,236,156,2571,Rawah,C7101,0
3136,0,0,0,0,722,218,238,156,2370,Neota,C7101,0
2936,0,16,150,-2,5805,194,208,149,3525,Rawah,C7102,1
2926,0,0,323,7,4189,218,238,156,4752,Rawah,C7102,1
2635,0,8,30,2,1026,209,226,155,1920,Rawah,C7102,1
2945,0,1,514,118,4914,217,236,156,5209,Rawah,C7102,0
2948,0,6,0,0,1557,211,228,155,2134,Commanche,C7102,0
2965,0,10,541,3,3388,205,221,153,5852,Rawah,C7102,0
3031,0,11,42,10,6563,204,220,153,3314,Rawah,C7102,1
2936,0,3,420,21,3719,215,234,156,5763,Rawah,C7102,1
3001,0,8,67,10,6067,209,226,155,3398,Rawah,C7102,1
3008,0,4,644,89,5279,214,232,156,5493,Rawah,C7102,0
3018,0,11,470,-15,6432,204,220,153,3699,Rawah,C7102,0
2886,0,9,42,3,4306,206,222,154,6001,Rawah,C7102,1
2867,0,0,0,0,4168,218,238,156,6044,Rawah,C7102,1
2824,0,6,0,0,3607,212,229,155,6457,Rawah,C7102,1
2922,0,0,0,0,4372,218,238,156,5460,Rawah,C7102,1
2988,0,12,391,69,4992,202,217,152,5824,Rawah,C7102,0
2929,0,9,30,0,4417,206,222,154,1935,Rawah,C7102,1
2922,0,2,42,0,3847,216,235,156,6378,Rawah,C7102,1
2942,0,3,0,0,4830,215,233,156,6062,Rawah,C7102,1
2860,0,11,0,0,4049,204,220,153,6148,Rawah,C7102,1
2608,0,4,60,-1,684,214,232,156,1590,Rawah,C7102,1
2962,0,10,60,10,4516,205,221,153,5392,Rawah,C7102,1
2979,0,9,0,0,3250,208,224,154,1008,Commanche,C7102,0
2903,0,9,30,3,4528,208,224,154,5929,Rawah,C7102,1
2585,0,13,0,0,853,200,215,152,2067,Rawah,C7102,1
3004,0,4,420,-16,6357,213,232,156,3721,Rawah,C7102,0
2695,0,14,30,7,1653,199,214,151,1276,Rawah,C7102,0
2606,0,2,0,0,511,216,234,156,1328,Rawah,C7102,1
3153,0,5,30,4,1332,213,231,156,424,Commanche,C7103,0
2989,0,14,120,25,661,199,214,151,1074,Neota,C7201,1
3121,0,8,390,36,658,209,226,155,967,Neota,C7201,1
3269,0,6,376,26,5859,212,229,155,793,Rawah,C7201,0
3093,0,0,408,69,390,218,238,156,1421,Commanche,C7201,1
3289,0,10,351,66,4549,205,221,153,2110,Commanche,C7201,0
3066,0,4,234,4,240,213,232,156,1231,Commanche,C7201,1
3195,0,10,85,8,5395,206,222,154,967,Rawah,C7201,0
3166,0,16,170,53,1224,195,209,150,1071,Commanche,C7201,0
3121,0,8,330,36,616,209,226,155,939,Neota,C7201,0
3218,0,8,153,4,5541,208,225,154,895,Rawah,C7201,0
3299,0,3,272,34,5674,215,234,156,541,Rawah,C7201,0
3192,0,3,170,-20,2619,215,234,156,2376,Rawah,C7201,0
3293,0,3,390,28,5791,215,234,156,607,Rawah,C7201,0
3266,0,5,404,27,5921,213,231,156,860,Rawah,C7201,0
3067,0,4,258,12,3314,214,232,156,497,Rawah,C7201,0
3092,0,8,150,23,582,209,226,155,1560,Rawah,C7201,1
3088,0,14,67,12,2670,199,213,151,752,Commanche,C7201,0
3201,0,2,234,18,5381,216,234,156,2408,Rawah,C7201,0
3051,0,5,85,3,3220,212,230,156,518,Rawah,C7201,0
3073,0,3,382,16,3412,215,234,156,595,Rawah,C7201,0
3201,0,9,85,7,5462,206,222,154,973,Rawah,C7201,0
3050,0,5,134,2,3166,213,231,156,459,Rawah,C7201,0
3007,0,11,124,16,2126,204,220,153,1146,Commanche,C7201,0
3066,0,7,124,9,3733,210,228,155,537,Commanche,C7201,0
3080,0,3,42,3,4734,215,233,156,1380,Rawah,C7201,0
3101,0,14,60,14,797,198,212,151,1830,Rawah,C7201,1
3051,0,7,150,18,3666,210,227,155,700,Commanche,C7201,0
3065,0,12,339,50,1253,202,217,152,2461,Commanche,C7201,0
3063,0,6,212,5,5106,211,228,155,2613,Rawah,C7201,0
3021,0,4,234,39,228,214,232,156,579,Rawah,C7201,0
3096,0,14,85,13,2684,199,213,151,738,Commanche,C7201,0
3255,0,6,319,20,5929,212,229,155,924,Rawah,C7201,0
3089,0,12,162,26,426,202,217,152,1293,Rawah,C7201,1
3213,0,5,30,2,5664,213,231,156,808,Rawah,C7201,0
3138,0,6,300,53,716,212,229,155,1064,Neota,C7201,0
3275,0,5,573,36,6035,213,231,156,741,Rawah,C7201,0
3125,0,7,430,-52,792,210,227,155,1074,Neota,C7201,0
3255,0,4,212,15,5780,214,232,156,807,Rawah,C7201,0
3268,0,9,108,8,6402,207,223,154,67,Rawah,C7201,0
3068,0,0,42,1,1935,218,237,156,1271,Commanche,C7201,0
3257,0,4,234,15,5778,214,232,156,787,Rawah,C7201,0
3051,0,11,234,36,1216,203,219,153,2560,Commanche,C7201,0
3095,0,5,67,4,3952,212,230,156,1142,Rawah,C7201,0
3250,0,13,830,59,2052,200,215,152,603,Commanche,C7201,0
